date,value
2014/9/17,465.864014
2014/9/18,456.859985
2014/9/19,424.102997
2014/9/20,394.673004
2014/9/21,408.084991
2014/9/22,399.100006
2014/9/23,402.09201
2014/9/24,435.751007
2014/9/25,423.156006
2014/9/26,411.428986
2014/9/27,403.556
2014/9/28,399.471008
2014/9/29,376.928009
2014/9/30,376.088013
2014/10/1,387.427002
2014/10/2,383.988007
2014/10/3,375.181
2014/10/4,359.891998
2014/10/5,328.915985
2014/10/6,320.389008
2014/10/7,330.584015
2014/10/8,336.115997
2014/10/9,352.747986
2014/10/10,364.687012
2014/10/11,361.362
2014/10/12,362.605988
2014/10/13,377.92099
2014/10/14,391.691986
2014/10/15,400.954987
2014/10/16,394.518005
2014/10/17,382.756012
2014/10/18,383.976013
2014/10/19,391.253998
2014/10/20,389.230988
2014/10/21,382.42099
2014/10/22,386.118011
2014/10/23,382.962006
2014/10/24,358.591003
2014/10/25,358.610992
2014/10/26,347.487
2014/10/27,354.777008
2014/10/28,353.214996
2014/10/29,357.088989
2014/10/30,335.709015
2014/10/31,345.009003
2014/11/1,338.649994
2014/11/2,326.075012
2014/11/3,325.569
2014/11/4,327.161011
2014/11/5,330.683014
2014/11/6,339.458008
2014/11/7,349.817993
2014/11/8,342.153992
2014/11/9,345.376007
2014/11/10,362.265015
2014/11/11,365.856995
2014/11/12,367.984985
2014/11/13,427.27301
2014/11/14,418.416992
2014/11/15,399.649994
2014/11/16,374.730011
2014/11/17,388.348999
2014/11/18,387.785004
2014/11/19,373.895996
2014/11/20,380.307007
2014/11/21,357.878998
2014/11/22,351.604004
2014/11/23,353.174988
2014/11/24,366.947998
2014/11/25,376.885986
2014/11/26,376.019012
2014/11/27,370.502014
2014/11/28,369.373993
2014/11/29,376.152008
2014/11/30,375.51001
2014/12/1,378.248993
2014/12/2,379.25
2014/12/3,381.721985
2014/12/4,375.717987
2014/12/5,369.441986
2014/12/6,376.756989
2014/12/7,374.835999
2014/12/8,374.964996
2014/12/9,361.894989
2014/12/10,352.204987
2014/12/11,344.339996
2014/12/12,350.833008
2014/12/13,352.381012
2014/12/14,346.72699
2014/12/15,351.360992
2014/12/16,345.673004
2014/12/17,326.855011
2014/12/18,319.785004
2014/12/19,311.178986
2014/12/20,317.618988
2014/12/21,329.542999
2014/12/22,321.067993
2014/12/23,332.016998
2014/12/24,334.38501
2014/12/25,322.286011
2014/12/26,319.152008
2014/12/27,327.583008
2014/12/28,316.160004
2014/12/29,317.700989
2014/12/30,312.718994
2014/12/31,310.914001
2015/1/1,320.434998
2015/1/2,314.07901
2015/1/3,314.846008
2015/1/4,281.145996
2015/1/5,265.084015
2015/1/6,274.610992
2015/1/7,286.076996
2015/1/8,294.13501
2015/1/9,282.382996
2015/1/10,287.303009
2015/1/11,274.608002
2015/1/12,266.145996
2015/1/13,267.394012
2015/1/14,223.893997
2015/1/15,176.897003
2015/1/16,209.070007
2015/1/17,207.834
2015/1/18,200.050003
2015/1/19,211.470993
2015/1/20,212.906998
2015/1/21,211.378006
2015/1/22,227.322006
2015/1/23,233.516998
2015/1/24,232.699997
2015/1/25,247.352005
2015/1/26,254.078995
2015/1/27,273.166992
2015/1/28,263.351013
2015/1/29,233.348007
2015/1/30,232.772003
2015/1/31,226.440994
2015/2/1,216.867004
2015/2/2,226.490997
2015/2/3,237.453995
2015/2/4,227.511002
2015/2/5,227.664993
2015/2/6,216.923004
2015/2/7,222.632996
2015/2/8,227.692993
2015/2/9,223.389008
2015/2/10,220.281998
2015/2/11,219.731995
2015/2/12,219.207993
2015/2/13,221.968994
2015/2/14,235.528
2015/2/15,257.506989
2015/2/16,234.824997
2015/2/17,233.421997
2015/2/18,243.779999
2015/2/19,236.410004
2015/2/20,240.251007
2015/2/21,243.751999
2015/2/22,244.544006
2015/2/23,235.994995
2015/2/24,238.998001
2015/2/25,238.889999
2015/2/26,237.337006
2015/2/27,236.436005
2015/2/28,253.520004
2015/3/1,254.283005
2015/3/2,260.356995
2015/3/3,275.04599
2015/3/4,281.98999
2015/3/5,272.739014
2015/3/6,275.600006
2015/3/7,272.294006
2015/3/8,276.433014
2015/3/9,274.812012
2015/3/10,289.862
2015/3/11,291.524994
2015/3/12,296.127014
2015/3/13,294.118011
2015/3/14,284.441986
2015/3/15,281.424988
2015/3/16,285.684998
2015/3/17,290.595001
2015/3/18,285.066986
2015/3/19,255.880005
2015/3/20,260.955994
2015/3/21,261.644012
2015/3/22,259.916992
2015/3/23,267.894989
2015/3/24,266.576996
2015/3/25,247.472
2015/3/26,246.276001
2015/3/27,248.565994
2015/3/28,246.975006
2015/3/29,252.740005
2015/3/30,242.878998
2015/3/31,247.453995
2015/4/1,244.223007
2015/4/2,247.089005
2015/4/3,253.074005
2015/4/4,254.291
2015/4/5,253.761002
2015/4/6,260.721008
2015/4/7,255.274002
2015/4/8,253.063995
2015/4/9,244.751007
2015/4/10,243.694
2015/4/11,236.016006
2015/4/12,236.535004
2015/4/13,235.949997
2015/4/14,224.759003
2015/4/15,219.072998
2015/4/16,223.917007
2015/4/17,228.574997
2015/4/18,222.852997
2015/4/19,223.455994
2015/4/20,222.612
2015/4/21,224.619995
2015/4/22,235.602005
2015/4/23,234.052994
2015/4/24,235.970001
2015/4/25,231.235001
2015/4/26,226.410004
2015/4/27,219.429001
2015/4/28,228.968994
2015/4/29,225.591003
2015/4/30,225.692993
2015/5/1,235.938995
2015/5/2,232.341003
2015/5/3,234.880005
2015/5/4,240.356003
2015/5/5,238.852005
2015/5/6,236.248993
2015/5/7,229.662003
2015/5/8,237.203995
2015/5/9,243.768997
2015/5/10,241.729004
2015/5/11,240.298996
2015/5/12,242.145004
2015/5/13,241.397995
2015/5/14,236.214005
2015/5/15,236.955002
2015/5/16,237.643997
2015/5/17,236.009995
2015/5/18,236.886993
2015/5/19,233.037003
2015/5/20,231.889999
2015/5/21,234.016006
2015/5/22,235.320999
2015/5/23,240.285995
2015/5/24,238.975998
2015/5/25,240.927002
2015/5/26,237.104004
2015/5/27,237.065002
2015/5/28,237.257004
2015/5/29,237.376999
2015/5/30,237.091995
2015/5/31,233.134995
2015/6/1,230.233002
2015/6/2,222.893997
2015/6/3,225.735992
2015/6/4,225.772003
2015/6/5,224.154007
2015/6/6,225.005005
2015/6/7,225.595993
2015/6/8,222.878998
2015/6/9,228.537994
2015/6/10,228.994995
2015/6/11,228.854996
2015/6/12,229.705002
2015/6/13,229.919998
2015/6/14,232.442001
2015/6/15,233.421997
2015/6/16,236.764999
2015/6/17,250.822998
2015/6/18,249.427994
2015/6/19,249.042999
2015/6/20,244.529999
2015/6/21,245.100006
2015/6/22,243.968994
2015/6/23,246.927002
2015/6/24,244.281998
2015/6/25,240.365005
2015/6/26,242.604004
2015/6/27,243.548996
2015/6/28,250.955002
2015/6/29,248.720993
2015/6/30,257.036011
2015/7/1,263.345001
2015/7/2,258.552002
2015/7/3,255.459
2015/7/4,256.490997
2015/7/5,260.804993
2015/7/6,271.108002
2015/7/7,269.963013
2015/7/8,265.981995
2015/7/9,270.826996
2015/7/10,269.156006
2015/7/11,284.880005
2015/7/12,293.140015
2015/7/13,310.826996
2015/7/14,292.033997
2015/7/15,288.045013
2015/7/16,286.041992
2015/7/17,278.091003
2015/7/18,279.330994
2015/7/19,274.766998
2015/7/20,273.498993
2015/7/21,278.881989
2015/7/22,275.657013
2015/7/23,277.341003
2015/7/24,276.005005
2015/7/25,288.164001
2015/7/26,288.640015
2015/7/27,292.639008
2015/7/28,293.632996
2015/7/29,294.484009
2015/7/30,289.102997
2015/7/31,287.696014
2015/8/1,284.686005
2015/8/2,280.449005
2015/8/3,282.806
2015/8/4,281.225006
2015/8/5,284.846985
2015/8/6,281.906006
2015/8/7,278.740997
2015/8/8,279.742004
2015/8/9,261.115997
2015/8/10,265.477997
2015/8/11,264.34201
2015/8/12,270.597992
2015/8/13,266.183014
2015/8/14,264.131989
2015/8/15,265.528992
2015/8/16,261.865997
2015/8/17,258.48999
2015/8/18,257.925995
2015/8/19,225.671005
2015/8/20,226.899002
2015/8/21,235.354996
2015/8/22,232.662003
2015/8/23,230.376007
2015/8/24,228.112
2015/8/25,210.067993
2015/8/26,222.076004
2015/8/27,226.050003
2015/8/28,224.701004
2015/8/29,231.548996
2015/8/30,229.895004
2015/8/31,229.113998
2015/9/1,230.255997
2015/9/2,228.026993
2015/9/3,229.324005
2015/9/4,227.214996
2015/9/5,230.199005
2015/9/6,234.869995
2015/9/7,239.934006
2015/9/8,239.845993
2015/9/9,243.414993
2015/9/10,238.335999
2015/9/11,238.328995
2015/9/12,239.854996
2015/9/13,235.242004
2015/9/14,230.608994
2015/9/15,230.492004
2015/9/16,230.25
2015/9/17,229.076004
2015/9/18,233.520996
2015/9/19,232.858002
2015/9/20,231.399002
2015/9/21,231.216995
2015/9/22,226.968994
2015/9/23,230.936005
2015/9/24,230.358002
2015/9/25,234.362
2015/9/26,235.076004
2015/9/27,234.139008
2015/9/28,232.835999
2015/9/29,239.016006
2015/9/30,236.639999
2015/10/1,236.003998
2015/10/2,237.264008
2015/10/3,237.201996
2015/10/4,238.531006
2015/10/5,238.147003
2015/10/6,240.363998
2015/10/7,246.169998
2015/10/8,243.074997
2015/10/9,242.498001
2015/10/10,243.740005
2015/10/11,244.742004
2015/10/12,246.875
2015/10/13,245.199997
2015/10/14,249.492996
2015/10/15,252.106995
2015/10/16,254.296005
2015/10/17,262.747009
2015/10/18,270.907013
2015/10/19,261.860992
2015/10/20,263.571991
2015/10/21,269.306
2015/10/22,266.496002
2015/10/23,273.648987
2015/10/24,276.503998
2015/10/25,281.445007
2015/10/26,283.627991
2015/10/27,285.181
2015/10/28,293.703003
2015/10/29,304.324005
2015/10/30,313.942993
2015/10/31,328.511993
2015/11/1,315.005005
2015/11/2,325.941986
2015/11/3,361.872986
2015/11/4,403.664001
2015/11/5,408.076996
2015/11/6,388.046997
2015/11/7,374.269012
2015/11/8,384.278015
2015/11/9,374.324005
2015/11/10,379.984009
2015/11/11,339.820007
2015/11/12,314.07901
2015/11/13,338.497986
2015/11/14,336.623993
2015/11/15,333.050995
2015/11/16,319.734985
2015/11/17,330.362
2015/11/18,334.592987
2015/11/19,334.678986
2015/11/20,326.411011
2015/11/21,322.09201
2015/11/22,326.975006
2015/11/23,324.350006
2015/11/24,323.014008
2015/11/25,320.045013
2015/11/26,328.303009
2015/11/27,351.860992
2015/11/28,357.140991
2015/11/29,357.471985
2015/11/30,371.437012
2015/12/1,377.414001
2015/12/2,361.845001
2015/12/3,359.330994
2015/12/4,361.261993
2015/12/5,363.721008
2015/12/6,389.554993
2015/12/7,389.977997
2015/12/8,395.753998
2015/12/9,414.44101
2015/12/10,417.988007
2015/12/11,415.281006
2015/12/12,452.334991
2015/12/13,431.660004
2015/12/14,433.272003
2015/12/15,443.877991
2015/12/16,465.208008
2015/12/17,454.777008
2015/12/18,455.846985
2015/12/19,463.552002
2015/12/20,462.234009
2015/12/21,442.838013
2015/12/22,437.436005
2015/12/23,436.720001
2015/12/24,443.091003
2015/12/25,454.855011
2015/12/26,455.756012
2015/12/27,416.514008
2015/12/28,423.342987
2015/12/29,422.097992
2015/12/30,433.299988
2015/12/31,425.875
2016/1/1,430.721008
2016/1/2,434.622009
2016/1/3,433.578003
2016/1/4,430.061005
2016/1/5,433.069
2016/1/6,431.855988
2016/1/7,430.010986
2016/1/8,457.537994
2016/1/9,453.382996
2016/1/10,448.238007
2016/1/11,448.697998
2016/1/12,448.182007
2016/1/13,434.665009
2016/1/14,432.287994
2016/1/15,430.255005
2016/1/16,365.072998
2016/1/17,387.152008
2016/1/18,381.733002
2016/1/19,387.026001
2016/1/20,379.73999
2016/1/21,419.631989
2016/1/22,409.751007
2016/1/23,382.43399
2016/1/24,388.10199
2016/1/25,402.316986
2016/1/26,392.002014
2016/1/27,392.444
2016/1/28,395.145996
2016/1/29,380.108002
2016/1/30,378.86499
2016/1/31,378.292999
2016/2/1,369.350006
2016/2/2,372.920013
2016/2/3,374.645996
2016/2/4,370.174011
2016/2/5,388.89801
2016/2/6,386.588989
2016/2/7,376.514008
2016/2/8,376.756989
2016/2/9,373.423004
2016/2/10,376.145996
2016/2/11,382.114014
2016/2/12,379.686005
2016/2/13,384.640991
2016/2/14,392.932007
2016/2/15,407.567993
2016/2/16,401.432007
2016/2/17,407.656006
2016/2/18,416.571991
2016/2/19,422.730011
2016/2/20,421.601013
2016/2/21,437.77301
2016/2/22,438.989014
2016/2/23,438.255005
2016/2/24,420.955994
2016/2/25,425.036987
2016/2/26,424.628998
2016/2/27,432.838989
2016/2/28,432.571014
2016/2/29,433.437988
2016/3/1,437.916992
2016/3/2,435.131012
2016/3/3,423.911987
2016/3/4,421.835999
2016/3/5,410.781006
2016/3/6,400.524994
2016/3/7,407.756989
2016/3/8,414.464996
2016/3/9,413.894012
2016/3/10,414.743988
2016/3/11,417.238007
2016/3/12,421.605011
2016/3/13,411.64801
2016/3/14,414.200989
2016/3/15,416.388
2016/3/16,416.888
