t,v
0,20.7
1,17.9
2,18.8
3,14.6
4,15.8
5,15.8
6,15.8
7,17.4
8,21.8
9,20
10,16.2
11,13.3
12,16.7
13,21.5
14,25
15,20.7
16,20.6
17,24.8
18,17.7
19,15.5
20,18.2
21,12.1
22,14.4
23,16
24,16.5
25,18.7
26,19.4
27,17.2
28,15.5
29,15.1
30,15.4
31,15.3
32,18.8
33,21.9
34,19.9
35,16.6
36,16.8
37,14.6
38,17.1
39,25
40,15
41,13.7
42,13.9
43,18.3
44,22
45,22.1
46,21.2
47,18.4
48,16.6
49,16.1
50,15.7
51,16.6
52,16.5
53,14.4
54,14.4
55,18.5
56,16.9
57,17.5
58,21.2
59,17.8
60,18.6
61,17
62,16
63,13.3
64,14.3
65,11.4
66,16.3
67,16.1
68,11.8
69,12.2
70,14.7
71,11.8
72,11.3
73,10.6
74,11.7
75,14.2
76,11.2
77,16.9
78,16.7
79,8.1
80,8
81,8.8
82,13.4
83,10.9
84,13.4
85,11
86,15
87,15.7
88,14.5
89,15.8
90,16.7
91,16.8
92,17.5
93,17.1
94,18.1
95,16.6
96,10
97,14.9
98,15.9
99,13
100,7.6
101,11.5
102,13.5
103,13
104,13.3
105,12.1
106,12.4
107,13.2
108,13.8
109,10.6
110,9
111,10
112,9.8
113,11.5
114,8.9
115,7.4
116,9.9
117,9.3
118,9.9
119,7.4
120,8.6
121,11.9
122,14
123,8.6
124,10
125,13.5
126,12
127,10.5
128,10.7
129,8.1
130,10.1
131,10.6
132,5.3
133,6.6
134,8.5
135,11.2
136,9.8
137,5.9
138,3.2
139,2.1
140,3.4
141,5.4
142,9.6
143,11.5
144,12.3
145,12.6
146,11
147,11.2
148,11.4
149,11.8
150,12.8
151,11.6
152,10.6
153,9.8
154,11.2
155,5.7
156,7.1
157,2.5
158,3.5
159,4.6
160,11
161,5.7
162,7.7
163,10.4
164,11.4
165,9.2
166,6.1
167,2.7
168,4.3
169,6.3
170,3.8
171,4.4
172,7.1
173,4.8
174,5.8
175,6.2
176,7.3
177,9.2
178,10.2
179,9.5
180,9.5
181,10.7
182,10
183,6.5
184,7
185,7.4
186,8.1
187,6.6
188,8.3
189,8.9
190,4.6
191,6.8
192,5.7
193,6.1
194,7
195,7.2
196,6.3
197,8.8
198,5
199,7.4
200,10.1
201,12
202,9
203,8.9
204,9.8
205,9
206,9.2
207,7.7
208,8
209,6.1
210,3.5
211,3.2
212,5.7
213,7.7
214,9
215,10
216,6.2
217,6.9
218,6.5
219,6.8
220,7
221,5.2
222,3
223,5.6
224,7.9
225,9
226,8.6
227,10.3
228,10.5
229,7.6
230,9.7
231,12.5
232,7.4
233,7.9
234,3.9
235,6.6
236,4.6
237,7
238,6
239,5.5
240,8.1
241,5.5
242,6.2
243,8
244,10.3
245,9.8
246,9.6
247,8.5
248,7.5
249,11.2
250,14.6
251,11.7
252,7.8
253,12.3
254,10.1
255,11.5
256,7.3
257,10.9
258,14.1
259,10.7
260,16.9
261,10.5
262,6.5
263,11
264,6.3
265,10.5
266,7.2
267,7.6
268,10.7
269,7.8
270,9.6
271,11.4
272,12.4
273,8.9
274,13.2
275,8.6
276,6.2
277,11.4
278,13.2
279,14.3
280,7.3
281,12.9
282,7.8
283,6.2
284,5.6
285,10
286,13.3
287,8.3
288,10.2
289,8.6
290,7.3
291,10.4
292,11.2
293,13.2
294,11.4
295,9.1
296,6.6
297,8.4
298,9.7
299,13.2
300,12.5
301,11
302,11
303,11.7
304,9.2
305,11.5
306,13.6
307,13.7
308,10.4
309,11.5
310,7.6
311,9.6
312,14.2
313,15.7
314,10.5
315,10.5
316,9.7
317,9.5
318,11.3
319,8.9
320,9.4
321,11.9
322,11.7
323,13.4
324,12.6
325,10.1
326,15.8
327,13.6
328,11.9
329,9.9
330,12.6
331,17.8
332,15
333,13.6
334,13.4
335,10.5
336,14.2
337,11.5
338,13
339,15
340,14.7
341,12.6
342,12.5
343,13.5
344,14.8
345,17.2
346,9.7
347,12.1
348,12.8
349,11.2
350,16.4
351,15.6
352,13.3
353,11
354,11.1
355,15
356,12.8
357,15
358,14.2
359,14
360,15.5
361,13.3
362,15.6
363,15.2
364,17.4
365,17
366,15
367,13.5
368,15.2
369,13
370,12.5
371,14.1
372,14.8
373,16.2
374,15.8
375,19.1
376,22.2
377,15.9
378,13
379,14.1
380,15.8
381,24
382,18
383,19.7
384,25.2
385,20.5
386,19.3
387,15.8
388,17
389,18.4
390,13.3
391,14.6
392,12.5
393,17
394,17.1
395,14
396,14.6
397,13.3
398,14.8
399,15.1
400,13.1
401,13.6
402,19.5
403,22.7
404,17.2
405,13.5
406,15.4
407,17
408,19.2
409,22.8
410,26.3
411,18.2
412,17
413,14.8
414,12.8
415,15.5
416,15.6
417,13.1
418,15.2
419,14.1
420,12.5
421,14.6
422,10.4
423,13.9
424,11.9
425,13.5
426,9.8
427,14
428,21.5
429,19.5
430,16.7
431,19.1
432,11
433,9
434,10
435,14.6
436,12.5
437,17.2
438,19.2
439,22.2
440,15.7
441,14.2
442,9.8
443,14
444,17.5
445,20.7
446,15.6
447,13.2
448,14.5
449,16.8
450,17.2
451,13.4
452,14.2
453,14.3
454,10.2
455,10.4
456,12.3
457,11.9
458,11.2
459,8.5
460,12
461,12.4
462,12.9
463,10.1
464,15
465,13.6
466,12.4
467,13.6
468,16.1
469,19.5
470,14.2
471,9.3
472,10.1
473,7.4
474,8.6
475,7.8
476,9.1
477,13
478,16.5
479,12.9
480,6.9
481,6.9
482,8.7
483,10
484,10.8
485,7.5
486,6.3
487,11.9
488,13.8
489,11.8
490,11
491,10.1
492,8.5
493,5.5
494,7.6
495,8.7
496,10.8
497,11.2
498,9.1
499,3.7
500,4.6
501,6.6
502,13.2
503,15.2
504,7.6
505,8.4
506,6
507,8.3
508,8.6
509,11.1
510,12.1
511,12.9
512,14
513,12.5
514,11.5
515,7
516,7.1
517,9
518,3.1
519,2.5
520,0
521,1.6
522,2.6
523,5.7
524,2.3
525,4.5
526,8.2
527,6.9
528,7.3
529,6
530,7.3
531,7.6
532,8
533,8
534,6.8
535,7.3
536,6.2
537,6.9
538,8.9
539,4
540,1.3
541,0.8
542,4.3
543,7.3
544,7.7
545,9
546,4.2
547,1.6
548,2.6
549,3.4
550,3.9
551,7
552,7.8
553,5.3
554,2.4
555,2.8
556,4
557,7.5
558,7.8
559,5.6
560,3.3
561,5
562,3.7
563,3.9
564,5.2
565,?0.2
566,?0.8
567,0.9
568,3.5
569,6.6
570,9.5
571,9
572,3.5
573,4.5
574,5.7
575,5.6
576,7.1
577,9.7
578,8.3
579,9.1
580,2.8
581,2.2
582,4.5
583,3.8
584,3.8
585,6.2
586,11.5
587,10.2
588,7.9
589,9
590,9.5
591,6
592,8.2
593,9.2
594,4.3
595,6.6
596,9.4
597,13.2
598,6.6
599,5.1
600,12.1
601,11.2
602,8.5
603,4.6
604,7
605,14.2
606,12.7
607,7.6
608,4
609,10
610,10.5
611,5
612,4.5
613,8.2
614,4.3
615,9.8
616,5.8
617,5
618,8.5
619,9
620,3.6
621,6.7
622,6.7
623,10.1
624,15
625,8.9
626,5.7
627,4.2
628,4
629,5.3
630,6.3
631,8.5
632,11.5
633,7.7
634,9.2
635,7.8
636,6.3
637,6.3
638,8.6
639,6.1
640,13.2
641,9.9
642,4.7
643,5.8
644,14.9
645,10.7
646,8.6
647,9.4
648,5.7
649,10.9
650,13.1
651,10.4
652,8.2
653,9.8
654,7.5
655,5.8
656,9.8
657,7.9
658,8.7
659,10
660,10.6
661,8
662,10.2
663,15.1
664,13.9
665,9.2
666,9
667,13.2
668,7
669,10.6
670,6.9
671,9.5
672,12.5
673,13.6
674,17.7
675,16
676,11.3
677,10.5
678,14.4
679,10.3
680,9
681,11.1
682,14.5
683,18
684,12.8
685,10.7
686,9.1
687,8.7
688,12.4
689,12.6
690,10.3
691,13.7
692,16
693,15.8
694,12.1
695,12.5
696,12.2
697,13.7
698,16.1
699,15.5
700,10.3
701,10.5
702,11
703,11.9
704,13
705,12.2
706,10.6
707,13
708,13
709,12.2
710,12.6
711,18.7
712,15.2
713,15.3
714,13.9
715,15.8
716,13
717,13
718,13.7
719,12
720,10.8
721,15.6
722,15.3
723,13.9
724,13
725,15.3
726,16.3
727,15.8
728,17.7
729,16.3
730,18.4
731,15
732,10.9
733,11.4
734,14.8
735,12.1
736,12.8
737,16.2
738,15.5
739,13
740,10.5
741,9.1
742,10.5
743,11.8
744,12.7
745,12.7
746,11.5
747,13.8
748,13.3
749,11.6
750,15.4
751,12.4
752,16.9
753,14.7
754,10.6
755,15.6
756,10.7
757,12.6
758,13.8
759,14.3
760,14
761,18.1
762,17.3
763,13
764,16
765,14.9
766,16.2
767,20.3
768,22.5
769,17.2
770,15.9
771,16.8
772,13.8
773,12.8
774,14
775,17.5
776,21.5
777,16.8
778,13.6
779,14.5
780,14.2
781,15.7
782,19.7
783,17.4
784,14.4
785,16.9
786,19.1
787,20.4
788,20.1
789,19.9
790,22
791,20.5
792,22.1
793,20.6
794,15
795,20.6
796,21.5
797,16.2
798,14.1
799,14.5
800,21.1
801,15.9
802,15.2
803,13.1
804,13.2
805,12.5
806,15.2
807,17.6
808,15.5
809,16.7
810,16.3
811,15.1
812,12.7
813,10
814,11.4
815,12.6
816,10.7
817,10
818,13.9
819,13.4
820,12.5
821,12.8
822,7.8
823,11.1
824,10.7
825,7.1
826,6.7
827,5.7
828,9.1
829,15.2
830,15.5
831,11.1
832,11.7
833,11.5
834,9.8
835,6.2
836,6.7
837,7.5
838,8.8
839,8
840,10.4
841,14.5
842,16.5
843,14.1
844,10.5
845,12.6
846,13
847,8.7
848,10.1
849,12
850,12.5
851,13.5
852,13.7
853,13.5
854,10.7
855,13
856,11.6
857,13
858,11.2
859,13.5
860,12.9
861,6.8
862,10
863,14.5
864,11.7
865,6.7
866,4.6
867,4.9
868,7.4
869,8.3
870,7.5
871,6.2
872,7.8
873,13.2
874,11.9
875,6.5
876,8.3
877,12.1
878,9.3
879,7.5
880,9.3
881,11
882,10.8
883,5.3
884,7.6
885,5.6
886,7.2
887,9.6
888,7
889,8.3
890,7.8
891,4.7
892,6.8
893,7.2
894,8.3
895,9.5
896,4.7
897,3
898,1.5
899,2.5
900,6.2
901,11.6
902,6.6
903,6.6
904,8
905,7.9
906,3.3
907,3.9
908,6
909,4
910,5.5
911,8.5
912,9.8
913,9.5
914,7.2
915,8.1
916,8
917,8.5
918,8.8
919,8.3
920,2.4
921,4.9
922,5.9
923,6.7
924,8.4
925,6.5
926,7.9
927,4.1
928,5.4
929,7.5
930,3.9
931,2.5
932,5.3
933,6.6
934,0
935,0.7
936,7.6
937,12.3
938,9.2
939,9.6
940,9.5
941,10
942,7.7
943,8
944,8.3
945,8.3
946,4.5
947,6.5
948,9.4
949,9.4
950,10.5
951,10.7
952,9.9
953,7.6
954,5.8
955,8.5
956,13.8
957,14.3
958,8.3
959,5.3
960,3
961,5.2
962,10.3
963,11.1
964,10.5
965,9
966,13
967,6.4
968,8.4
969,6.7
970,8.3
971,11.2
972,10
973,10.1
974,10.6
975,10.9
976,5.7
977,9.5
978,10.4
979,11.1
980,12.2
981,10.6
982,8.8
983,9.2
984,5.5
985,7.1
986,6.5
987,4.3
988,5
989,11.2
990,7.5
991,12
992,13.6
993,8.3
994,8.5
995,12.9
996,7.7
997,7.6
998,3.5
999,10.4
1000,15.4
1001,10.6
1002,9.6
1003,9.3
1004,13.9
1005,7.7
1006,9.5
1007,7.6
1008,6.9
1009,6.8
1010,5.8
1011,6
1012,8.3
1013,9.1
1014,12.5
1015,13.2
1016,16.2
1017,12.5
1018,11.8
1019,10.6
1020,10
1021,12.2
1022,8.9
1023,10.3
1024,7.5
1025,11.6
1026,12.6
1027,12.9
1028,11.7
1029,14
1030,12.3
1031,9
1032,9.2
1033,9.8
1034,11.8
1035,10.6
1036,12.6
1037,11
1038,8.2
1039,7.5
1040,13.6
1041,14.8
1042,10.9
1043,7.7
1044,10.2
1045,10.8
1046,10.8
1047,12.5
1048,13.2
1049,8.7
1050,5.7
1051,9.8
1052,7.3
1053,10.8
1054,10
1055,16.2
1056,15
1057,14.5
1058,15.9
1059,14.9
1060,14.2
1061,15.8
1062,17.2
1063,17.6
1064,12.1
1065,11.4
1066,13
1067,13.2
1068,12
1069,15.3
1070,12.7
1071,12.1
1072,13.8
1073,10.9
1074,12
1075,16.5
1076,15
1077,11.2
1078,13.9
1079,15
1080,14.8
1081,15
1082,13.3
1083,20.4
1084,18
1085,12.2
1086,16.7
1087,13.8
1088,17.5
1089,15
1090,13.9
1091,11.1
1092,16.1
1093,20.4
1094,18
1095,19.5
1096,17.1
1097,17.1
1098,12
1099,11
1100,16.3
1101,16.1
1102,13
1103,13.4
1104,15.2
1105,12.5
1106,14.3
1107,16.5
1108,18.6
1109,18
1110,18.2
1111,11.4
1112,11.9
1113,12.2
1114,14.8
1115,13.1
1116,12.7
1117,10.5
1118,13.8
1119,18.8
1120,13.9
1121,11.2
1122,10.6
1123,14.7
1124,13.1
1125,12.1
1126,14.7
1127,11.1
1128,13
1129,15.6
1130,14.2
1131,15.5
1132,18
1133,15
1134,15.9
1135,15.5
1136,15.8
1137,16.6
1138,13.6
1139,13.8
1140,14.6
1141,15.6
1142,16.6
1143,14.3
1144,16.3
1145,18.9
1146,18.7
1147,14.5
1148,16.5
1149,14.1
1150,13.5
1151,11.7
1152,15.1
1153,11.2
1154,13.5
1155,12.6
1156,8.8
1157,10.5
1158,12.1
1159,14.5
1160,19.5
1161,14
1162,13.8
1163,10.5
1164,13.8
1165,11.4
1166,15.6
1167,11.1
1168,12.1
1169,14.2
1170,10.9
1171,14.2
1172,13.8
1173,15.1
1174,14
1175,12.1
1176,13.8
1177,16.6
1178,17.8
1179,9.4
1180,10.2
1181,7.4
1182,8.7
1183,14
1184,15.3
1185,11.1
1186,9.7
1187,10.3
1188,9.2
1189,8.2
1190,9.7
1191,12.4
1192,12.5
1193,9
1194,9.7
1195,10.1
1196,11.2
1197,12
1198,11.1
1199,10.8
1200,12.8
1201,9.8
1202,13.7
1203,11
1204,13.2
1205,13
1206,10.2
1207,13.2
1208,9.3
1209,11.1
1210,10.3
1211,8.7
1212,11.7
1213,12.5
1214,6.5
1215,9.6
1216,13.8
1217,14.7
1218,9.1
1219,4.8
1220,3.3
1221,3.5
1222,5.7
1223,5.5
1224,7
1225,9.5
1226,9.9
1227,4.9
1228,6.3
1229,4.8
1230,6.2
1231,7.1
1232,7.5
1233,9.4
1234,8.7
1235,9.5
1236,12.1
1237,9.5
1238,9.3
1239,8.5
1240,8
1241,9.8
1242,6.2
1243,7.3
1244,10.9
1245,10
1246,8.7
1247,9
1248,10.8
1249,12.4
1250,7.2
1251,7.2
1252,11.1
1253,9.3
1254,10.1
1255,3.9
1256,5
1257,8.2
1258,2.8
1259,4.3
1260,8.1
1261,11.1
1262,4.7
1263,5.3
1264,10
1265,5.6
1266,2.2
1267,7.1
1268,8.3
1269,8.6
1270,10.1
1271,8.3
1272,7.2
1273,7.7
1274,7.8
1275,9.1
1276,9.4
1277,7.8
1278,2.6
1279,2.4
1280,3.9
1281,1.3
1282,2.1
1283,7.4
1284,7.2
1285,8.8
1286,8.9
1287,8.8
1288,8
1289,0.7
1290,?0.1
1291,0.9
1292,7.8
1293,7.2
1294,8
1295,4.6
1296,5.2
1297,5.8
1298,6.8
1299,8.1
1300,7.5
1301,5.4
1302,4.6
1303,6.4
1304,9.7
1305,7
1306,10
1307,10.6
1308,11.5
1309,10.2
1310,11.1
1311,11
1312,8.9
1313,9.9
1314,11.7
1315,11.6
1316,9
1317,6.3
1318,8.7
1319,8.5
1320,8.5
1321,8
1322,6
1323,8
1324,8.5
