t,v
0,-33.01
1,-51.86
2,-31.17
3,79.1
4,25.24
5,-27.41
6,-10.51
7,73.65
8,-13.35
9,20.0
10,28.56
11,27.62
12,-44.49
13,0.83
14,-26.98
15,111.82
16,61.08
17,44.21
18,74.33
19,91.85
20,103.65
21,98.68
22,52.02
23,-19.84
24,45.11
25,148.44
26,34.75
27,45.59
28,149.32
29,29.05
30,71.37
31,89.5
32,163.69
33,87.49
34,141.12
35,46.93
36,37.7
37,61.48
38,115.1
39,153.64
40,120.47
41,43.61
42,7.11
43,26.52
44,172.49
45,109.5
46,89.48
47,144.86
48,105.44
49,97.12
50,42.35
51,92.53
52,137.19
53,125.26
54,179.12
55,85.16
56,103.57
57,51.59
58,67.89
59,82.09
60,158.97
61,218.7
62,119.62
63,102.93
64,36.71
65,183.81
66,206.8
67,179.33
68,164.1
69,206.94
70,251.75
71,252.14
72,130.33
73,201.2
74,140.23
75,148.56
76,212.96
77,178.84
78,160.54
79,191.69
80,177.45
81,150.46
82,174.69
83,239.83
84,160.09
85,233.51
86,192.08
87,205.59
88,227.45
89,244.17
90,233.23
91,209.02
92,237.33
93,238.77
94,254.56
95,324.86
96,338.42
97,220.58
98,223.92
99,342.15
100,286.84
101,293.74
102,303.74
103,177.98
104,269.67
105,179.94
106,250.16
107,188.13
108,300.71
109,194.16
110,314.97
111,228.02
112,240.8
113,321.77
114,323.94
115,260.84
116,359.37
117,272.94
118,252.98
119,315.01
120,243.61
121,327.77
122,324.46
123,295.66
124,292.63
125,264.59
126,311.24
127,324.36
128,325.18
129,342.11
130,357.75
131,352.68
132,295.13
133,311.53
134,318.28
135,309.66
136,302.95
137,420.63
138,380.56
139,353.93
140,390.82
141,389.95
142,361.73
143,352.2
144,352.21
145,388.77
146,288.95
147,310.37
148,405.71
149,429.54
150,386.97
151,379.27
152,399.57
153,367.07
154,407.67
155,372.87
156,362.13
157,387.56
158,414.03
159,349.87
160,395.22
161,467.0
162,354.92
163,442.8
164,433.82
165,451.29
166,437.78
167,392.73
168,447.81
169,452.61
170,411.34
171,343.06
172,392.83
173,453.47
174,370.86
175,393.46
176,452.19
177,473.61
178,408.9
179,523.01
180,453.32
181,422.83
182,520.77
