t,v
0,15.18
1,34.92
2,-49.22
3,-69.12
4,-31.49
5,36.62
6,25.53
7,-80.62
8,-39.45
9,-50.43
10,-97.98
11,66.04
12,-19.97
13,49.21
14,-23.2
15,-50.38
16,-48.23
17,-59.76
18,33.7
19,59.67
20,88.72
21,27.72
22,30.07
23,34.21
24,-2.46
25,-8.3
26,70.87
27,-2.0
28,15.41
29,-10.69
30,-97.58
31,39.61
32,43.44
33,-10.97
34,17.26
35,-17.99
36,-28.07
37,14.63
38,-58.12
39,56.77
40,43.17
41,-20.11
42,34.34
43,-58.99
44,-12.38
45,23.55
46,44.05
47,20.52
48,-37.74
49,38.65
50,48.16
51,46.17
52,82.19
53,-6.22
54,-4.84
55,36.72
56,13.61
57,-79.89
58,78.69
59,-38.7
60,62.22
61,-4.71
62,40.92
63,-50.23
64,16.14
65,-44.81
66,111.55
67,-20.87
68,-60.67
69,-60.45
70,-3.85
71,-16.16
72,6.31
73,61.92
74,0.59
75,-40.21
76,-11.88
77,-1.35
78,105.94
79,26.32
80,91.54
81,60.53
82,169.07
83,83.49
84,-21.29
85,79.76
86,16.64
87,122.57
88,40.17
89,48.09
90,43.02
91,-67.55
92,-8.23
93,-13.9
94,11.8
95,1.75
96,18.57
97,-55.51
98,86.33
99,-23.85
100,-63.66
101,-40.7
102,0.55
103,-62.43
104,-57.19
105,-14.12
106,14.41
107,-46.92
108,32.88
109,77.15
110,12.15
111,60.03
112,0.27
113,5.49
114,-23.74
115,88.92
116,37.2
117,-35.1
118,37.86
119,61.64
120,64.74
121,79.32
122,39.37
123,42.61
124,26.88
125,65.92
126,38.07
127,13.05
128,0.05
129,-61.12
130,-36.71
131,-5.33
132,0.29
133,44.0
134,128.94
135,62.7
136,59.36
137,-22.49
138,0.39
139,-5.45
140,22.67
141,-5.12
142,55.48
143,-32.85
144,-47.11
145,66.45
146,15.99
147,58.58
148,0.45
149,124.14
150,-10.87
151,67.38
152,46.59
153,-17.83
154,2.49
155,66.77
156,153.82
157,84.19
158,66.63
159,84.78
160,69.81
161,78.96
162,63.77
163,40.0
164,3.54
165,101.84
166,128.42
167,2.64
168,58.06
169,-58.63
170,-14.0
171,-47.58
172,25.52
173,66.83
174,96.17
175,43.24
176,-9.9
177,38.25
178,21.11
179,77.44
180,67.17
181,96.81
182,82.02
183,65.06
184,49.24
185,184.44
186,51.83
187,37.05
188,33.48
189,17.51
190,-9.1
191,37.91
192,78.98
193,0.74
194,16.89
195,69.88
196,80.7
197,57.16
198,35.04
199,22.32
200,59.19
201,73.97
202,153.76
203,87.41
204,1.9
205,67.3
206,70.37
207,67.26
208,112.06
209,23.75
210,69.8
211,30.41
212,69.29
213,50.96
214,187.82
215,-10.19
216,39.25
217,38.1
218,19.35
219,54.59
220,122.53
221,67.79
222,3.22
223,137.29
224,6.79
225,71.38
226,102.78
227,-12.39
228,18.09
229,56.74
230,13.56
231,91.59
232,120.07
233,122.49
234,73.7
235,34.56
236,98.43
237,-21.08
238,123.91
239,70.44
240,99.01
241,65.0
242,53.54
243,-0.86
244,28.34
245,24.13
246,83.47
247,101.22
248,54.99
249,66.19
250,29.89
251,86.59
252,128.61
253,96.58
254,-37.32
255,41.81
256,8.89
257,44.16
258,30.02
259,81.66
260,157.15
261,66.1
262,111.55
263,80.67
264,7.93
265,135.96
266,46.69
267,94.88
268,4.3
269,135.13
270,-6.83
271,-11.08
272,137.36
273,-74.92
274,123.53
275,53.47
276,155.02
277,115.9
278,121.49
279,104.26
280,61.58
281,86.7
282,106.4
283,-26.93
284,-0.5
285,194.68
286,137.21
287,70.97
288,19.48
289,85.86
290,11.33
291,78.29
292,69.26
293,87.35
294,72.94
295,165.65
296,62.73
297,155.75
298,145.87
299,147.68
300,49.09
301,132.32
