t,v
12,-4.8288
37,3.9732000000000003
62,8.551599999999999
87,30.472799999999996
112,13.5044
137,21.614
162,46.372
187,49.8108
212,64.1588
237,61.571999999999996
262,60.7724
287,91.2976
312,84.3856
337,86.3544
362,78.5464
387,103.04879999999999
412,119.00880000000001
437,90.9752
462,108.18719999999999
487,98.6828
512,109.1172
537,134.7172
562,136.7152
587,128.7828
612,171.2676
637,171.4116
662,176.0528
687,174.718
712,171.15079999999998
737,194.2864
762,190.8884
787,208.1656
812,216.7132
837,224.7552
862,239.6372
887,231.9384
912,234.4928
937,232.48280000000003
962,236.7776
987,253.1884
1012,249.93040000000002
1037,264.41200000000003
1062,263.5468
1087,284.5064
1112,274.238
1137,289.972
1162,293.51439999999997
1187,302.4176
1212,283.24240000000003
1237,306.9428
1262,315.8892
1287,322.3916
1312,329.954
1337,324.36080000000004
1362,352.6928
1387,356.44239999999996
1412,354.95599999999996
1437,345.6028
1462,354.92519999999996
1487,343.494
1512,365.588
1537,377.978
1562,382.9168
1587,385.1408
1612,396.0888
1637,379.62559999999996
1662,416.9024
1687,413.73199999999997
1712,408.50440000000003
1737,419.23879999999997
1762,439.99440000000004
1787,447.18559999999997
1812,432.2044
1837,456.06559999999996
1862,454.288
1887,445.0848
1912,432.144
1937,449.26
1962,470.93080000000003
1987,460.5876
2012,478.69120000000004
2037,474.904
2062,489.2032
2087,489.4268
2112,489.8036
2137,503.416
2162,500.86199999999997
2187,518.7744
2212,494.212
2237,506.4436
2262,514.9416
2287,523.0972
2312,546.8932
2337,528.0572
2362,531.6828
2387,536.7236
2412,549.2416000000001
2437,542.1616
2462,569.1148000000001
2487,551.942
2512,550.3792
2537,555.2776
2562,571.6283999999999
2587,573.0548
2612,559.3812
2637,564.7704
2662,581.2872
2687,571.362
2712,601.5996
2737,591.4616000000001
2762,604.6336
2787,611.5992
2812,605.1283999999999
2837,596.3012
2862,605.8236
2887,616.1088
2912,614.4028
2937,638.5036
2962,633.2156
2987,619.578
3012,651.0024
3037,639.5948000000001
3062,624.6828
3087,616.8972
3112,626.1687999999999
3137,644.8044
3162,647.052
3187,640.0776000000001
3212,655.7972
3237,648.5563999999999
3262,661.4292
3287,649.9504000000001
3312,670.5948
3337,656.9316
3362,676.3792
3387,661.5903999999999
3412,649.9488
3437,658.3611999999999
3462,665.2067999999999
3487,664.4532
3512,662.8012
3537,680.7916
3562,688.2968000000001
3587,673.7964
3612,678.0468
3637,677.4672
3662,703.6967999999999
3687,682.0260000000001
3712,685.7539999999999
3737,688.3592
3762,683.5868
3787,694.7292
3812,704.6948
3837,676.8063999999999
3862,692.0419999999999
3887,709.052
3912,675.9636
3937,677.7736
3962,696.6684
3987,707.7683999999999
4012,708.1836
4037,706.9368
4062,711.194
4087,691.9296
4112,701.5664
4137,713.7224000000001
4162,699.2012
4187,701.3992
4212,703.0175999999999
4237,691.2847999999999
4262,718.6768
4287,699.6655999999999
4312,707.112
4337,705.174
4362,714.1888
4387,682.9176
4412,706.5275999999999
4437,706.2575999999999
4462,706.372
4487,721.154
4512,703.9408
